model,final_accuracy,best_accuracy,best_epoch,final_f1,best_f1,final_loss,min_loss
vit_tiny_patch16_224,0.9406425848611364,0.9406425848611364,18,0.9335145883398698,0.9335145883398698,0.2241314204484123,0.1848144071994197
resnet18,0.9386458522417862,0.9393719368306408,11,0.932585834767791,0.933060904549614,0.1918453323118673,0.1870809917290519
custom_cnn,0.8397168270103467,0.8397168270103467,10,0.7991758070233176,0.7991758070233176,0.4426265143156917,0.4426265143156917
